ԱԱԽ	ɑ ɑ χ ə
արտասահմանում	ɑ ɾ t ɑ s ɑ h m ɑ n u m
արտասանել	ɑ ɾ t ɑ s ɑ n e l
արտասանությունը	ɑ ɾ t ɑ s ɑ n u tʰ j u n ə
արտասանվում	ɑ ɾ t ɑ s ɑ n v u m
արտացոլելու	ɑ ɾ t ɑ t͡sʰ o l e l u
արտացոլում	ɑ ɾ t ɑ t͡sʰ o l u m
արտաքին	ɑ ɾ t ɑ kʰ i n
արտաքինը	ɑ ɾ t ɑ kʰ i n ə
արտաքինից	ɑ ɾ t ɑ kʰ i n i t͡sʰ
Արտեմիսի	ɑ ɾ t e m i s i
արտերկրում	ɑ ɾ t e ɾ k ɾ u m
արտոնագիր	ɑ ɾ t o n ɑ ɡ i ɾ
արտոնագիրն	ɑ ɾ t o n ɑ ɡ i ɾ n
արտոնագրերը	ɑ ɾ t o n ɑ ɡ ɾ e ɾ ə
արտոնագրերից	ɑ ɾ t o n ɑ ɡ ɾ e ɾ i t͡sʰ
արտոնագրի	ɑ ɾ t o n ɑ ɡ ɾ i
արտոնյալ	ɑ ɾ t o n j ɑ l
արտոնության	ɑ ɾ t o n u tʰ j ɑ n
արտոնությունները	ɑ ɾ t o n u tʰ j u n n e ɾ ə
արցունքաբեր	ɑ ɾ t͡sʰ u ŋ kʰ ɑ b e ɾ
արցունքներն	ɑ ɾ t͡sʰ u ŋ kʰ n e ɾ n
արքա	ɑ ɾ kʰ ɑ
արքայական	ɑ ɾ kʰ ɑ j ɑ k ɑ n
արքայի	ɑ ɾ kʰ ɑ j i
արքային	ɑ ɾ kʰ ɑ j i n
արքան	ɑ ɾ kʰ ɑ n
ացել	ɑ t͡sʰ e l
ափ	ɑ pʰ
ափամերձ	ɑ pʰ ɑ m e ɾ d͡z
ափերին	ɑ pʰ e ɾ i n
ափերից	ɑ pʰ e ɾ i t͡sʰ
ափը	ɑ pʰ ə
Ափթաուն	ɑ pʰ tʰ ɑ u n
ափի	ɑ pʰ i
Ափիան	ɑ pʰ i ɑ n
ափին	ɑ pʰ i n
ափից	ɑ pʰ i t͡sʰ
ափսեները	ɑ pʰ s e n e ɾ ə
աֆղանական	ɑ f ʁ ɑ n ɑ k ɑ n
աֆղանացիներն	ɑ f ʁ ɑ n ɑ t͡sʰ i n e ɾ n
Աֆղանստան	ɑ f ʁ ɑ n ə s t ɑ n
Աֆղանստանի	ɑ f ʁ ɑ n ə s t ɑ n i
Աֆղանստանում	ɑ f ʁ ɑ n ə s t ɑ n u m
Աֆրիկա	ɑ f ɾ i k ɑ
Աֆրիկական	ɑ f ɾ i k ɑ k ɑ n
Աֆրիկայի	ɑ f ɾ i k ɑ j i
Աֆրիկայից	ɑ f ɾ i k ɑ j i t͡sʰ
Աֆրիկայում	ɑ f ɾ i k ɑ j u m
Աֆրիկան	ɑ f ɾ i k ɑ n
Աֆրիկյան	ɑ f ɾ i k j ɑ n
Բաբա	b ɑ b ɑ
Բաբելոնի	b ɑ b e l o n i
բադը	b ɑ d ə
բազա	b ɑ z ɑ
բազային	b ɑ z ɑ j i n
բազայից	b ɑ z ɑ j i t͡sʰ
բազաներ	b ɑ z ɑ n e ɾ
բազաները	b ɑ z ɑ n e ɾ ə
բազաներից	b ɑ z ɑ n e ɾ i t͡sʰ
բազաներում	b ɑ z ɑ n e ɾ u m
բազկի	b ɑ z k i
բազմաբնույթ	b ɑ z m ɑ b ə n u j tʰ
բազմազան	b ɑ z m ɑ z ɑ n
բազմազանել	b ɑ z m ɑ z ɑ n e l
բազմազանությամբ	b ɑ z m ɑ z ɑ n u tʰ j ɑ m b
բազմազանություն	b ɑ z m ɑ z ɑ n u tʰ j u n
բազմազգ	b ɑ z m ɑ z ɡ
բազմաթիվ	b ɑ z m ɑ tʰ i v
բազմակի	b ɑ z m ɑ k i
բազմակողմանի	b ɑ z m ɑ k o ʁ m ɑ n i
բազմամարդ	b ɑ z m ɑ m ɑ ɾ tʰ
բազմամորֆ	b ɑ z m ɑ m o ɾ f
բազմացման	b ɑ z m ɑ t͡sʰ m ɑ n
Բազում	b ɑ z u m
Բաթենը	b ɑ tʰ e n ə
բաժակ	b ɑ ʒ ɑ k
բաժանած	b ɑ ʒ ɑ n ɑ t͡s
բաժանմունքի	b ɑ ʒ ɑ n m u ŋ kʰ i
բաժանում	b ɑ ʒ ɑ n u m
բաժանված	b ɑ ʒ ɑ n v ɑ t͡s
բաժանվելու	b ɑ ʒ ɑ n v e l u
բաժին	b ɑ ʒ i n
բաժիններում	b ɑ ʒ i n n e ɾ u m
բաժնի	b ɑ ʒ n i
Բալասուբրամանյանը	b ɑ l ɑ s u b ɾ ɑ m ɑ n j ɑ n ə
Բալասուբրամանյանի	b ɑ l ɑ s u b ɾ ɑ m ɑ n j ɑ n i
Բալենու	b ɑ l e n u
Բալթիկ	b ɑ l tʰ i k
Բալթիկը	b ɑ l tʰ i k ə
Բալթյան	b ɑ l tʰ j ɑ n
Բալիում	b ɑ l i j u m
Բալկանյան	b ɑ l k ɑ n j ɑ n
բախման	b ɑ χ m ɑ n
Բախմաննը	b ɑ χ m ɑ n n ə
բախումների	b ɑ χ u m n e ɾ i
բախումներից	b ɑ χ u m n e ɾ i t͡sʰ
բախվել	b ɑ χ v e l
բախվելուց	b ɑ χ v e l u t͡sʰ
բախվեն	b ɑ χ v e n
բախվեց	b ɑ χ v e t͡sʰ
բախվեցին	b ɑ χ v e t͡sʰ i n
բակ	b ɑ k
բակում	b ɑ k u m
բակտերիան	b ɑ k t e ɾ j ɑ n
բաղադրիչ	b ɑ ʁ ɑ d ɾ i t͡ʃʰ
բաղադրիչն	b ɑ ʁ ɑ d ɾ i t͡ʃʰ n
բաղադրիչները	b ɑ ʁ ɑ d ɾ i t͡ʃʰ n e ɾ ə
բաղադրիչներն	b ɑ ʁ ɑ d ɾ i t͡ʃʰ n e ɾ n
Բաղադրյալ	b ɑ ʁ ɑ d ə ɾ j ɑ l
բաղադրության	b ɑ ʁ ɑ d ɾ u tʰ j ɑ n
բաղադրությունը	b ɑ ʁ ɑ d ɾ u tʰ j u n ə
բաղկացած	b ɑ χ k ɑ t͡sʰ ɑ t͡s
բաղնիքների	b ɑ ʁ n i kʰ n e ɾ i
բաճկոն	b ɑ t͡ʃ k o n
բամբասանքները	b ɑ m b ɑ s ɑ ŋ kʰ n e ɾ ə
բայեր	b ɑ j e ɾ
բայը	b ɑ j ə
Բայրոնի	b ɑ j ɾ o n i
բայց	b ɑ j t͡sʰ
բան	b ɑ n
բանալիները	b ɑ n ɑ l i n e ɾ ə
բանալիներին	b ɑ n ɑ l i n e ɾ i n
բանակ	b ɑ n ɑ k
բանականությունը	b ɑ n ɑ k ɑ n u tʰ j u n ə
բանակը	b ɑ n ɑ k ə
բանակի	b ɑ n ɑ k i
բանակները	b ɑ n ɑ k n e ɾ ə
Բանակցողները	b ɑ n ɑ k t͡sʰ o ʁ n e ɾ ə
բանակցությունների	b ɑ n ɑ k t͡sʰ u tʰ j u n n e ɾ i
բանաձևը	b ɑ n ɑ d͡z e v ə
բանաստեղծը	b ɑ n ɑ s t e χ t͡s ə
բանաստեղծությունների	b ɑ n ɑ s t e χ t͡s u tʰ j u n n e ɾ i
բանավեճերի	b ɑ n ɑ v e t͡ʃ e ɾ i
Բանավեճը	b ɑ n ɑ v e t͡ʃ ə
բանավեճի	b ɑ n ɑ v e t͡ʃ i
Բանգլադեշի	b ɑ ŋ ɡ l ɑ d e ʃ i
բաներ	b ɑ n e ɾ
բաները	b ɑ n e ɾ ə
բաների	b ɑ n e ɾ i
բաներին	b ɑ n e ɾ i n
բաներից	b ɑ n e ɾ i t͡sʰ
բանը	b ɑ n ə
բանի	b ɑ n i
բանիմաց	b ɑ n i m ɑ t͡sʰ
բանից	b ɑ n i t͡sʰ
բանկ	b ɑ ŋ k
բանկային	b ɑ ŋ k ɑ j i n
բանկետներ	b ɑ ŋ k e t n e ɾ
բանկը	b ɑ ŋ k ə
բանկի	b ɑ ŋ k i
բանկից	b ɑ ŋ k i t͡sʰ
բանկում	b ɑ ŋ k u m
բանջարեղենի	b ɑ n d͡ʒ ɑ ɾ e ʁ e n i
բանջարեղենով	b ɑ n d͡ʒ ɑ ɾ e ʁ e n o v
բանտարկել	b ɑ n t ɑ ɾ k e l
բանտարկյալի	b ɑ n t ɑ ɾ k j ɑ l i
բանտարկյալներ	b ɑ n t ɑ ɾ k j ɑ l n e ɾ
բանտարկյալների	b ɑ n t ɑ ɾ k j ɑ l n e ɾ i
բանտարկյալներին	b ɑ n t ɑ ɾ k j ɑ l n e ɾ i n
բանտարկության	b ɑ n t ɑ ɾ k u tʰ j ɑ n
բանտարկված	b ɑ n t ɑ ɾ k v ɑ t͡s
բանտարկվել	b ɑ n t ɑ ɾ k v e l
բանտը	b ɑ n t ə
բանտում	b ɑ n t u m
բաշխելու	b ɑ ʃ χ e l u
բաշխումը	b ɑ ʃ χ u m ə
Բաչմանն	b ɑ t͡ʃʰ m ɑ n n
բառագիտության	b ɑ r ɑ ɡ i t u tʰ j ɑ n
բառապաշարին	b ɑ r ɑ p ɑ ʃ ɑ ɾ i n
բառեր	b ɑ r e ɾ
բառերը	b ɑ r e ɾ ə
բառերի	b ɑ r e ɾ i
բառերից	b ɑ r e ɾ i t͡sʰ
բառերն	b ɑ r e ɾ n
բառը	b ɑ r ə
բառի	b ɑ r i
բառից	b ɑ r i t͡sʰ
Բաս	b ɑ s
բասկետբոլը	b ɑ s k e t b o l ə
Բասկետբոլի	b ɑ s k e t b o l i
բավական	b ɑ v ɑ k ɑ n
բավականաչափ	b ɑ v ɑ k ɑ n ɑ t͡ʃʰ ɑ pʰ
բավականացնելու	b ɑ v ɑ k ɑ n ɑ t͡sʰ n e l u
բավականին	b ɑ v ɑ k ɑ n i n
բավականություն	b ɑ v ɑ k ɑ n u tʰ j u n
բավարար	b ɑ v ɑ ɾ ɑ ɾ
բավարարել	b ɑ v ɑ ɾ ɑ ɾ e l
բավարարելու	b ɑ v ɑ ɾ ɑ ɾ e l u
բավարարվածության	b ɑ v ɑ ɾ ɑ ɾ v ɑ t͡s u tʰ j ɑ n
Բավարիայում	b ɑ v ɑ ɾ j ɑ j u m
Բատչելորից	b ɑ t t͡ʃʰ e l o ɾ i t͡sʰ
բարակ	b ɑ ɾ ɑ k
բարբառները	b ɑ ɾ b ɑ r n e ɾ ə
բարբառով	b ɑ ɾ b ɑ r o v
բարբարոսության	b ɑ ɾ b ɑ ɾ o s u tʰ j ɑ n
բարդ	b ɑ ɾ tʰ
Բարդիայի	b ɑ ɾ d j ɑ j i
բարդությամբ	b ɑ ɾ tʰ u tʰ j ɑ m b
Բարեբախտաբար	b ɑ ɾ e b ɑ χ t ɑ b ɑ ɾ
բարեգործական	b ɑ ɾ e ɡ o ɾ t͡s ɑ k ɑ n
բարել	b ɑ ɾ e l
բարելավել	b ɑ ɾ e l ɑ v e l
բարելավելու	b ɑ ɾ e l ɑ v e l u
բարելավեց	b ɑ ɾ e l ɑ v e t͡sʰ
բարելավումն	b ɑ ɾ e l ɑ v u m n
բարելավումները	b ɑ ɾ e l ɑ v u m n e ɾ ə
բարելավվել	b ɑ ɾ e l ɑ v v e l
բարելավվի	b ɑ ɾ e l ɑ v v i
բարելի	b ɑ ɾ e l i
բարեխիղճ	b ɑ ɾ e χ i χ t͡ʃ
բարեկամական	b ɑ ɾ e k ɑ m ɑ k ɑ n
բարեկամների	b ɑ ɾ e k ɑ m n e ɾ i
բարեկեցության	b ɑ ɾ e k e t͡sʰ u tʰ j ɑ n
բարենպաստ	b ɑ ɾ e n ə p ɑ s t
բարեր	b ɑ ɾ e ɾ
բարերն	b ɑ ɾ e ɾ n
բարերում	b ɑ ɾ e ɾ u m
բարեփոխումները	b ɑ ɾ e pʰ o χ u m n e ɾ ə
Բարձադիր	b ɑ ɾ t͡sʰ ɑ d i ɾ
բարձակի	b ɑ ɾ t͡sʰ ɑ k i
բարձր	b ɑ ɾ t͡sʰ ə ɾ
բարձրագույն	b ɑ ɾ t͡sʰ ɾ ɑ ɡ u j n
բարձրադիր	b ɑ ɾ t͡sʰ ɾ ɑ d i ɾ
բարձրակարգ	b ɑ ɾ t͡sʰ ɾ ɑ k ɑ ɾ kʰ
բարձրահարկ	b ɑ ɾ t͡sʰ ɾ ɑ h ɑ ɾ k
բարձրանալ	b ɑ ɾ t͡sʰ ɾ ɑ n ɑ l
բարձրանալը	b ɑ ɾ t͡sʰ ɾ ɑ n ɑ l ə
բարձրանալով	b ɑ ɾ t͡sʰ ɾ ɑ n ɑ l o v
բարձրանում	b ɑ ɾ t͡sʰ ɾ ɑ n u m
բարձրաստիճան	b ɑ ɾ t͡sʰ ɾ ɑ s t i t͡ʃ ɑ n
բարձրավանդակները	b ɑ ɾ t͡sʰ ɾ ɑ v ɑ n d ɑ k n e ɾ ə
բարձրավանդակների	b ɑ ɾ t͡sʰ ɾ ɑ v ɑ n d ɑ k n e ɾ i
բարձրացած	b ɑ ɾ t͡sʰ ɾ ɑ t͡sʰ ɑ t͡s
բարձրացան	b ɑ ɾ t͡sʰ ɾ ɑ t͡sʰ ɑ n
բարձրացել	b ɑ ɾ t͡sʰ ɾ ɑ t͡sʰ e l
բարձրացնել	b ɑ ɾ t͡sʰ ɾ ɑ t͡sʰ n e l
բարձրացնելով	b ɑ ɾ t͡sʰ ɾ ɑ t͡sʰ n e l o v
բարձրացնելու	b ɑ ɾ t͡sʰ ɾ ɑ t͡sʰ n e l u
բարձրացրեց	b ɑ ɾ t͡sʰ ɾ ɑ t͡sʰ ɾ e t͡sʰ
բարձրորակ	b ɑ ɾ t͡sʰ ɾ o ɾ ɑ k
բարձրությամբ	b ɑ ɾ t͡sʰ ɾ u tʰ j ɑ m b
բարձրության	b ɑ ɾ t͡sʰ ɾ u tʰ j ɑ n
բարձրություն	b ɑ ɾ t͡sʰ ɾ u tʰ j u n
բարձրությունը	b ɑ ɾ t͡sʰ ɾ u tʰ j u n ə
բարձրությունների	b ɑ ɾ t͡sʰ ɾ u tʰ j u n n e ɾ i
բարոյական	b ɑ ɾ o j ɑ k ɑ n
բարում	b ɑ ɾ u m
Բարսելոնայի	b ɑ ɾ s e l o n ɑ j i
Բարսելոնային	b ɑ ɾ s e l o n ɑ j i n
Բարտոլոմե	b ɑ ɾ t o l o m e
բարօրությունը	b ɑ ɾ o ɾ u tʰ j u n ə
բաց	b ɑ t͡sʰ
բացակայության	b ɑ t͡sʰ ɑ k ɑ j u tʰ j ɑ n
բացակայությունը	b ɑ t͡sʰ ɑ k ɑ j u tʰ j u n ə
բացակայում	b ɑ t͡sʰ ɑ k ɑ j u m
բացահայտել	b ɑ t͡sʰ ɑ h ɑ j t e l
բացահայտելը	b ɑ t͡sʰ ɑ h ɑ j t e l ə
բացահայտեց	b ɑ t͡sʰ ɑ h ɑ j t e t͡sʰ
բացահայտման	b ɑ t͡sʰ ɑ h ɑ j t m ɑ n
բացահայտմանը	b ɑ t͡sʰ ɑ h ɑ j t m ɑ n ə
բացահայտում	b ɑ t͡sʰ ɑ h ɑ j t u m
բացահայտումները	b ɑ t͡sʰ ɑ h ɑ j t u m n e ɾ ə
բացահայտումների	b ɑ t͡sʰ ɑ h ɑ j t u m n e ɾ i
բացահայտված	b ɑ t͡sʰ ɑ h ɑ j t v ɑ t͡s
բացահայտվեց	b ɑ t͡sʰ ɑ h ɑ j t v e t͡sʰ
բացահայտվող	b ɑ t͡sʰ ɑ h ɑ j t v o ʁ
բացառիկ	b ɑ t͡sʰ ɑ r i k
բացառությամբ	b ɑ t͡sʰ ɑ r u tʰ j ɑ m b
բացասական	b ɑ t͡sʰ ɑ s ɑ k ɑ n
բացասականը	b ɑ t͡sʰ ɑ s ɑ k ɑ n ə
բացատրելու	b ɑ t͡sʰ ɑ t ɾ e l u
բացատրելուց	b ɑ t͡sʰ ɑ t ɾ e l u t͡sʰ
բացատրություններ	b ɑ t͡sʰ ɑ t ɾ u tʰ j u n n e ɾ
բացատրություններ	b ɑ t͡sʰ ɑ t ə ɾ u tʰ j u n n e ɾ
բացատրում	b ɑ t͡sʰ ɑ t ɾ u m
բացարձակ	b ɑ t͡sʰ ɑ ɾ t͡sʰ ɑ k
բացարձակությունից	b ɑ t͡sʰ ɑ ɾ t͡sʰ ɑ k u tʰ j u n i t͡sʰ
բացել	b ɑ t͡sʰ e l
բացելը	b ɑ t͡sʰ e l ə
բացեց	b ɑ t͡sʰ e t͡sʰ
բացի	b ɑ t͡sʰ i
բացիկ	b ɑ t͡sʰ i k
բացիկները	b ɑ t͡sʰ i k n e ɾ ə
բացման	b ɑ t͡sʰ m ɑ n
բացումը	b ɑ t͡sʰ u m ə
բացվածությունը	b ɑ t͡sʰ v ɑ t͡s u tʰ j u n ə
բացվածքներ	b ɑ t͡sʰ v ɑ t͡s kʰ n e ɾ
բացվեց	b ɑ t͡sʰ v e t͡sʰ
բացվեցին	b ɑ t͡sʰ v e t͡sʰ i n
բացօդյա	b ɑ t͡sʰ o tʰ j ɑ
բացօթյա	b ɑ t͡sʰ o tʰ j ɑ
բաքի	b ɑ kʰ i
բաքից	b ɑ kʰ i t͡sʰ
Բաֆոքենգ	b ɑ f o kʰ e ŋ ɡ
բելառուսական	b e l ɑ r u s ɑ k ɑ n
բելգիական	b e l ɡ j ɑ k ɑ n
Բելգիայի	b e l ɡ j ɑ j i
Բելգիայում	b e l ɡ j ɑ j u m
բելգիացիները	b e l ɡ j ɑ t͡sʰ i n e ɾ ə
Բելգրադի	b e l ɡ ɾ ɑ d i
բելիգիացիներինը	b e l i ɡ j ɑ t͡sʰ i n e ɾ i n ə
բելվեդերները	b e l v e d e ɾ n e ɾ ə
բեկորները	b e k o ɾ n e ɾ ə
բեղիկներ	b e ʁ i k n e ɾ
բեմ	b e m
բեմանկարչություն	b e m ɑ n ə k ɑ ɾ t͡ʃʰ u tʰ j u n
բեմերում	b e m e ɾ u m
բեմի	b e m i
բեմից	b e m i t͡sʰ
Բեյ	b e j
Բեյի	b e j i
Բեյից	b e j i t͡sʰ
բեյսբոլը	b e j s b o l ə
բենգալյան	b e ŋ ɡ ɑ l j ɑ n
Բենեթ	b e n e tʰ
բենզինը	b e n z i n ə
Բենինը	b e n i n ə
բեռ	b e r
բեռը	b e r ə
Բեռլին	b e r l i n
Բեռլիներ	b e r l i n e ɾ
Բեռլինը	b e r l i n ə
Բեռլինի	b e r l i n i
Բեռլինում	b e r l i n u m
բեռնաթափման	b e r n ɑ tʰ ɑ pʰ m ɑ n
բեռնախցիկում	b e r n ɑ χ ə t͡sʰ i k u m
Բեռնատար	b e r n ɑ t ɑ ɾ
բեռնատարները	b e r n ɑ t ɑ ɾ n e ɾ ə
բեռնարկղի	b e r n ɑ ɾ k ʁ i
բեռնափոխադրման	b e r n ɑ pʰ o χ ɑ d ə ɾ m ɑ n
Բեռնափոխադրող	b e r n ɑ pʰ o χ ɑ d ɾ o ʁ
բեռներ	b e r n e ɾ
բեր	b e ɾ
բերանի	b e ɾ ɑ n i
բերբերցի	b e ɾ b e ɾ t͡sʰ i
բերել	b e ɾ e l
բերելով	b e ɾ e l o v
բերելու	b e ɾ e l u
բերեց	b e ɾ e t͡sʰ
բերեցին	b e ɾ e t͡sʰ i n
բերեք	b e ɾ e kʰ
Բերհեյն	b e ɾ h e j n
բերող	b e ɾ o ʁ
բերում	b e ɾ u m
բերված	b e ɾ v ɑ t͡s
բերքն	b e ɾ kʰ n
բևեռ	b e v e r
բևեռային	b e v e r ɑ j i n
բևեռը	b e v e r ə
բևեռի	b e v e r i
Բեքսթրոմի	b e kʰ s tʰ ɾ o m i
բեքփեքինգ	b e kʰ pʰ e kʰ i ŋ ɡ
բժիշկ	b ə ʒ i ʃ k
Բժիշկներ	b ə ʒ i ʃ k n e ɾ
բժիշկների	b ə ʒ i ʃ k n e ɾ i
բժիշկներից	b ə ʒ i ʃ k n e ɾ i t͡sʰ
բժշկական	b ə ʒ ə ʃ k ɑ k ɑ n
բժշկի	b ə ʒ ə ʃ k i
Բժշկության	b ə ʒ ə ʃ k u tʰ j ɑ n
Բիբերն	b i b e ɾ n
Բիգ	b i ɡ
բիզնես	b i z n e s
բիզնեսի	b i z n e s i
բիզոնները	b i z o n n e ɾ ə
բիթեր	b i tʰ e ɾ
Բիշկեկի	b i ʃ k e k i
Բիշքեքը	b i ʃ kʰ e kʰ ə
Բիշքեքի	b i ʃ kʰ e kʰ i
Բիոլոգիական	b i j o l o ɡ i ɑ k ɑ n
Բիոլոգիական	b i o l o ɡ i ɑ k ɑ n
Բիրմինգհեմի	b i ɾ m i ŋ ɡ h e m i
Բլեյքը	b l e j kʰ ə
Բլեյքին	b l e j kʰ i n
Բլեք	b l e kʰ
Բլեքսի	b l e kʰ s i
Բլեքսին	b l e kʰ s i n
Բլյու	b l j u
բլոգ	b l o ɡ
բլոգ	b ə l o ɡ
բլոգի	b l o ɡ i
բլոգի	b ə l o ɡ i
բլոգներ	b ə l o ɡ n e ɾ
Բլոգները	b ə l o ɡ n e ɾ ə
Բլոգների	b ə l o ɡ n e ɾ i
Բլոգով	b ə l o ɡ o v
Բլոխի	b l o χ i
բլուր	b ə l u ɾ
բլուրն	b ə l u ɾ n
բլուրներ	b ə l u ɾ n e ɾ
բլուրներից	b ə l u ɾ n e ɾ i t͡sʰ
բլուրներում	b ə l u ɾ n e ɾ u m
Բլրի	b ə l ɾ i
բխում	b ə χ u m
բղավում	b ə ʁ ɑ v u m
Բյուզանդական	b j u z ɑ n d ɑ k ɑ n
Բյուզանդիայի	b j u z ɑ n d j ɑ j i
Բյութին	b j u tʰ i n
բյուջեն	b j u d͡ʒ e n
բյուրեղներ	b j u ɾ e ʁ n e ɾ
բյուրեղների	b j u ɾ e ʁ n e ɾ i
բյուրեղներին	b j u ɾ e ʁ n e ɾ i n
բնագավառում	b ə n ɑ ɡ ɑ v ɑ r u m
բնագետներն	b ə n ɑ ɡ e t n e ɾ n
բնածին	b ə n ɑ t͡s i n
բնական	b ə n ɑ k ɑ n
բնականոն	b ə n ɑ k ɑ n o n
բնակավայր	b ə n ɑ k ɑ v ɑ j ɾ
բնակավայրերը	b ə n ɑ k ɑ v ɑ j ɾ e ɾ ə
բնակավայրերում	b ə n ɑ k ɑ v ɑ j ɾ e ɾ u m
բնակավայրից	b ə n ɑ k ɑ v ɑ j ɾ i t͡sʰ
բնակավայրում	b ə n ɑ k ɑ v ɑ j ɾ u m
բնակարանային	b ə n ɑ k ɑ ɾ ɑ n ɑ j i n
բնակարանը	b ə n ɑ k ɑ ɾ ɑ n ə
Բնակարանի	b ə n ɑ k ɑ ɾ ɑ n i
Բնակարանների	b ə n ɑ k ɑ ɾ ɑ n n e ɾ i
բնակարաններից	b ə n ɑ k ɑ ɾ ɑ n n e ɾ i t͡sʰ
բնակեցված	b ə n ɑ k e t͡sʰ v ɑ t͡s
բնակիչ	b ə n ɑ k i t͡ʃʰ
բնակիչներ	b ə n ɑ k i t͡ʃʰ n e ɾ
բնակիչները	b ə n ɑ k i t͡ʃʰ n e ɾ ə
բնակիչների	b ə n ɑ k i t͡ʃʰ n e ɾ i
բնակիչներին	b ə n ɑ k i t͡ʃʰ n e ɾ i n
բնակիչներն	b ə n ɑ k i t͡ʃʰ n e ɾ n
բնակության	b ə n ɑ k u tʰ j ɑ n
բնակչությամբ	b ə n ɑ k t͡ʃʰ u tʰ j ɑ m b
բնակչության	b ə n ɑ k t͡ʃʰ u tʰ j ɑ n
բնակչությունը	b ə n ɑ k t͡ʃʰ u tʰ j u n ə
բնակչությունն	b ə n ɑ k t͡ʃʰ u tʰ j u n n
բնակվել	b ə n ɑ k v e l
բնակվելուց	b ə n ɑ k v e l u t͡sʰ
բնակվում	b ə n ɑ k v u m
բնապատկերային	b ə n ɑ p ɑ t k e ɾ ɑ j i n
բնապատկերներից	b ə n ɑ p ɑ t k e ɾ n e ɾ i t͡sʰ
բնավորության	b ə n ɑ v o ɾ u tʰ j ɑ n
Բնատնտեսությունը	b ə n ɑ t ə n t e s u tʰ j u n ə
բներ	b ə n e ɾ
բնի	b ə n i
Բնիկ	b ə n i k
բնիկների	b ə n i k n e ɾ i
բնորոշ	b ə n o ɾ o ʃ
բնորոշիչների	b ə n o ɾ o ʃ i t͡ʃʰ n e ɾ i
բնորոշում	b ə n o ɾ o ʃ u m
բնորոշվում	b ə n o ɾ o ʃ v u m
բնութագիրը	b ə n u tʰ ɑ ɡ i ɾ ə
բնութագրի	b ə n u tʰ ɑ ɡ ɾ i
բնութագրի	b ə n u tʰ ɑ ɡ ə ɾ i
բնության	b ə n u tʰ j ɑ n
բնությունը	b ə n u tʰ j u n ə
բնույթ	b ə n u j tʰ
բնույթի	b ə n u j tʰ i
բնույթն	b ə n u j tʰ n
բնօրինակ	b ə n o ɾ i n ɑ k
Բոբ	b o b
Բոբեկը	b o b e k ə
Բոբեկից	b o b e k i t͡sʰ
բոդա-բոդան	b o d ɑ b o d ɑ n
Բոլոնիայի	b o l o n j ɑ j i
Բոլոնիայիա	b o l o n j ɑ j i ɑ
բոլոր	b o l o ɾ
Բոլորը	b o l o ɾ ə
բոլորի	b o l o ɾ i
բոլորից	b o l o ɾ i t͡sʰ
բոլորն	b o l o ɾ n
բոլորովին	b o l o ɾ o v i n
բոլորս	b o l o ɾ ə s
Բոհրի	b o h ɾ i
բողոքել	b o ʁ o kʰ e l
Բողոքի	b o ʁ o kʰ i
բողոքների	b o ʁ o kʰ n e ɾ i
Բոյերից	b o j e ɾ i t͡sʰ
բոնուսային	b o n u s ɑ j i n
բոշա	b o ʃ ɑ
բոշաների	b o ʃ ɑ n e ɾ i
Բոուեն	b o u e n
բոստոնցի	b o s t o n t͡sʰ i
Բովանդակային	b o v ɑ n d ɑ k ɑ j i n
բովանդակության	b o v ɑ n d ɑ k u tʰ j ɑ n
բովանդակությանը	b o v ɑ n d ɑ k u tʰ j ɑ n ə
բովանդակություն	b o v ɑ n d ɑ k u tʰ j u n
Բոտսվանայից	b o t ə s v ɑ n ɑ j i t͡sʰ
Բորդենթաունում	b o ɾ d e n tʰ ɑ u n u m
Բորնեո	b o ɾ n e o
Բորսելլինոյի	b o ɾ s e l l i n o j i
բուդդայականությունը	b u d d ɑ j ɑ k ɑ n u tʰ j u n ə
Բուդդայի	b u d d ɑ j i
բուդդիզմը	b u d d i z m ə
բուդդիստական	b u d d i s t ɑ k ɑ n
Բուենոս	b u e n o s
Բութանի	b u tʰ ɑ n i
բուժաշխատող	b u ʒ ɑ ʃ χ ɑ t o ʁ
բուժառուի	b u ʒ ɑ r u i
բուժելու	b u ʒ e l u
բուժման	b u ʒ m ɑ n
բուժմանը	b u ʒ m ɑ n ə
բուժումը	b u ʒ u m ə
բուժումները	b u ʒ u m n e ɾ ə
բուժվել	b u ʒ v e l
բուժվող	b u ʒ v o ʁ
բուժօգնությանը	b u ʒ o kʰ n u tʰ j ɑ n ə
բուժօգնություն	b u ʒ o kʰ n u tʰ j u n
Բուլղարիա	b u l ʁ ɑ ɾ j ɑ
Բուլղարիայից	b u l ʁ ɑ ɾ j ɑ j i t͡sʰ
Բուխարեստի	b u χ ɑ ɾ e s t i
բուծման	b u t͡s m ɑ n
բուծումը	b u t͡s u m ə
Բումերանգ	b u m e ɾ ɑ ŋ ɡ
բումերանգը	b u m e ɾ ɑ ŋ ɡ ə
բումերանգների	b u m e ɾ ɑ ŋ ɡ n e ɾ i
բույն	b u j n
բույսեր	b u j s e ɾ
բույսերը	b u j s e ɾ ə
բույսերի	b u j s e ɾ i
բույսերից	b u j s e ɾ i t͡sʰ
Բույսերն	b u j s e ɾ n
բուն	b u n
բունն	b u n n
Բուշը	b u ʃ ə
Բուշի	b u ʃ i
բուսաբանական	b u s ɑ b ɑ n ɑ k ɑ n
